График 1
AEXX (%)	Energy (eV)
0	-46.70176765
1	-47.85925754
2	-49.02085051
3	-50.18649124
4	-51.35619617
5	-52.52974778
6	-53.7071058
7	-54.88822735
8	-56.0730407
9	-57.26147911
10	-58.45347445
11	-59.64895963
12	-60.84787048
13	-62.05016325
14	-63.25573921
15	-64.46454412
16	-65.6765244
17	-66.89162117
18	-68.10977527
19	-69.33093127
20	-70.55503289
21	-71.78202607
22	-73.01185799
23	-74.24447738
24	-75.4798345
25	-76.7178794
26	-77.95856485
27	-79.20184517
28	-80.4476741
29	-81.69600874
30	-82.94680638
31	-84.2000258
32	-85.45562698
33	-86.71356998
34	-87.97381747
35	-89.23633307
36	-90.50108048
37	-91.76802607
38	-93.03713489
39	-94.30837483
40	-95.58171401
41	-96.85712331
42	-98.13457167

График 2
AEXX (%)	Band Gap (eV)
0	1.3370999999999995
1	1.5201000000000002
2	1.7042000000000002
3	1.8892000000000007
4	2.0764000000000005
5	2.2636000000000003
6	2.4513999999999996
7	2.6401000000000003
8	2.8297999999999996
9	3.0201000000000002
10	3.2113000000000005
11	3.4032999999999998
12	3.5960000000000005
13	3.7898
14	3.984
15	4.1787
16	4.3741
17	4.509399999999999
18	4.623100000000001
19	4.736800000000001
20	4.8508
21	4.964700000000001
22	5.078899999999999
23	5.193100000000001
24	5.307400000000001
25	5.422000000000001
26	5.536599999999998
27	5.651300000000001
28	5.766300000000001
29	5.881399999999999
30	5.996700000000001
31	6.1122
32	6.2278
33	6.3436
34	6.4596
35	6.5758
36	6.692199999999999
37	6.808700000000001
38	6.925599999999999
39	7.0424999999999995
40	7.159700000000001
41	7.277000000000001
42	7.394500000000001
